,Unnamed: 0,# of alphabetic,# of digits,# of numbers,% constraining,% litigious,% modal moderate,% modal strong,% modal-weak,% negative,% positive,% uncertainty,average word length,avg # of syllables per word,cik,co_conm,co_tic,company name,conformed period of report,date as of change,excess_return,file name,file size,filed as of date,number of words,vocabulary
22,22,545594,8576,3295,0,0,0,0,0,1.786009591532991,5.597817099388126,0,4.635873160244749,0,80424,PROCTER & GAMBLE CO,pg,PROCTER & GAMBLE CO,20170630,20170807,-0.004267541259028363,../Data/filtered_textdata/2017/QTR3/20170807_10-K_edgar_data_80424_0000080424-17-000047_1.txt,712986,2017-08-07,48376,1168
23,23,849115,9950,3694,0,0,0,0,0,1.757420513362206,5.719869018696524,0,4.643049540509137,0,858877,CISCO SYSTEMS INC,csco,"CISCO SYSTEMS, INC.",20170729,20170907,0.01271638849315668,../Data/filtered_textdata/2017/QTR3/20170907_10-K_edgar_data_858877_0000858877-17-000016_1.txt,1085108,2017-09-07,75736,1267
24,24,263751,5610,2063,0,0,0,0,0,1.939919013089745,6.389490535831999,0,4.791317449854035,0,789019,MICROSOFT CORP,msft,MICROSOFT CORP,20170630,20170802,-0.005607414451236374,../Data/filtered_textdata/2017/QTR3/20170802_10-K_edgar_data_789019_0001564590-17-014900_1.txt,334505,2017-08-02,21238,1070
25,25,289665,5793,2069,0,0,0,0,0,2.507796812919212,5.263382748750375,0,4.817319605246293,0,320187,NIKE INC  -CL B,nke,NIKE INC,20170531,20170720,-0.002648142200668291,../Data/filtered_textdata/2017/QTR3/20170720_10-K_edgar_data_320187_0000320187-17-000090_1.txt,373266,2017-07-20,23407,1076
26,26,317360,6040,2061,0,0,0,0,0,1.872772765183107,5.072408825536431,0,4.649518538175752,0,320193,APPLE INC,aapl,APPLE INC,20170930,20171103,0.01390654468876159,../Data/filtered_textdata/2017/QTR4/20171103_10-K_edgar_data_320193_0000320193-17-000070_1.txt,405697,2017-11-03,26378,995
27,27,310578,7502,2620,0,0,0,0,0,2.27104802644371,5.358740034999029,0,4.84238771145246,0,1403161,VISA INC,v,VISA INC.,20170930,20171116,0.001521629206941287,../Data/filtered_textdata/2017/QTR4/20171117_10-K_edgar_data_1403161_0001403161-17-000044_1.txt,402066,2017-11-17,25715,1010
0,0,173510,4806,1556,0,0,0,0,0,1.913613996719519,6.021049753963915,0,4.724781301257519,0,354950,HOME DEPOT INC,hd,HOME DEPOT INC,20180128,20180322,-0.01637578561457206,../Data/filtered_textdata/2018/QTR1/20180322_10-K_edgar_data_354950_0000354950-18-000019_1.txt,227129,2018-03-22,14632,903
1,1,449486,7348,2626,0,0,0,0,0,2.421395012649078,5.690695282310751,0,4.756748491840649,0,4962,AMERICAN EXPRESS CO,axp,AMERICAN EXPRESS CO,20171231,20180216,-0.007120327524270469,../Data/filtered_textdata/2018/QTR1/20180216_10-K_edgar_data_4962_0000004962-18-000032_1.txt,558548,2018-02-16,35971,1251
2,2,565623,15121,5283,0,0,0,0,0,1.950101023859792,5.35085927035801,0,4.830325319530523,0,1666700,DU PONT (E I) DE NEMOURS,dd,DOWDUPONT INC.,20171231,20180215,-0.02535389824661524,../Data/filtered_textdata/2018/QTR1/20180215_10-K_edgar_data_1666700_0001666700-18-000009_1.txt,737726,2018-02-15,44049,1251
3,3,565623,15121,5283,0,0,0,0,0,1.950101023859792,5.35085927035801,0,4.830325319530523,0,1666700,DUPONT DE NEMOURS INC,dd,DOWDUPONT INC.,20171231,20180215,-0.02535389824661524,../Data/filtered_textdata/2018/QTR1/20180215_10-K_edgar_data_1666700_0001666700-18-000009_1.txt,737726,2018-02-15,44049,1251
4,4,357391,10633,3495,0,0,0,0,0,1.729357319322175,5.358571975364487,0,4.869515292807684,0,101829,RAYTHEON TECHNOLOGIES CORP,rtx,UNITED TECHNOLOGIES CORP /DE/,20171231,20180208,0.0003786461894279315,../Data/filtered_textdata/2018/QTR1/20180209_10-K_edgar_data_101829_0000101829-18-000005_1.txt,463211,2018-02-09,28739,966
5,5,953462,12227,4381,0,0,0,0,0,2.763636363636364,5.451851851851854,0,4.720781144781144,0,19617,JPMORGAN CHASE & CO,jpm,JPMORGAN CHASE & CO,20171231,20180227,-0.04791986652525233,../Data/filtered_textdata/2018/QTR1/20180227_10-K_edgar_data_19617_0000019617-18-000057_1.txt,1232566,2018-02-27,74250,1416
