Date,vwretx,vwindx
20121003,0.002516,1285.012
20121004,0.007708,1294.917
20121005,-0.000339,1294.478
20121008,-0.003581,1289.842
20121009,-0.009968,1276.984
20121010,-0.005752,1269.638
20121011,0.001485,1271.524
20121012,-0.003533,1267.031
20121015,0.007429,1276.443
20121016,0.010076,1289.304
20121017,0.005034,1295.794
20121018,-0.002823,1292.137
20121019,-0.015898,1271.595
20121022,0.000058,1271.669
20121023,-0.01309,1255.023
20121024,-0.002685,1251.654
20121025,0.003255,1255.728
20121026,-0.001366,1254.012
20121031,0.002218,1256.793
20121101,0.011319,1271.02
20121102,-0.009856,1258.492
20121105,0.002078,1261.107
20121106,0.007754,1270.886
20121107,-0.022258,1242.599
20121108,-0.011909,1227.801
20121109,0.000949,1228.965
20121112,-0.000229,1228.684
20121113,-0.004493,1223.163
20121114,-0.015307,1204.441
20121115,-0.003194,1200.594
20121116,0.006298,1208.155
20121119,0.019345,1231.526
20121120,0.000961,1232.709
20121121,0.003203,1236.658
20121123,0.012735,1252.407
20121126,-0.001761,1250.201
20121127,-0.004555,1244.506
20121128,0.007437,1253.762
20121129,0.004979,1260.005
20121130,0.000308,1260.393
20121203,-0.004433,1254.806
20121204,-0.001396,1253.053
20121205,0.001357,1254.753
20121206,0.002317,1257.661
20121207,0.002495,1260.798
20121210,0.001378,1262.536
20121211,0.006295,1270.483
20121212,-0.000176,1270.26
20121213,-0.006254,1262.316
20121214,-0.003374,1258.057
20121217,0.010441,1271.192
20121218,0.011243,1285.484
20121219,-0.004919,1279.16
20121220,0.004843,1285.355
20121221,-0.008754,1274.104
20121224,-0.002353,1271.106
20121226,-0.005286,1264.387
20121227,-0.001047,1263.063
20121228,-0.009653,1250.871
20121231,0.016709,1271.771
20130102,0.02535,1304.011
20130103,-0.001751,1301.727
20130104,0.005793,1309.269
20130107,-0.002518,1305.972
20130108,-0.002443,1302.782
20130109,0.003422,1307.241
20130110,0.006823,1316.161
20130111,0.000249,1316.489
20130114,-0.000446,1315.901
20130115,0.002009,1318.545
20130116,-0.000798,1317.493
20130117,0.005953,1325.336
20130118,0.002999,1329.31
20130122,0.005237,1336.272
20130123,0.00034,1336.726
20130124,0.00069,1337.648
20130125,0.00544,1344.924
20130128,-0.001274,1343.211
20130129,0.003459,1347.856
20130130,-0.004211,1342.18
20130131,-0.000817,1341.084
20130201,0.009426,1353.724
20130204,-0.011255,1338.488
20130205,0.00942,1351.096
20130206,0.001194,1352.709
20130207,-0.002346,1349.536
20130208,0.005469,1356.916
20130211,-0.001014,1355.54
20130212,0.002134,1358.433
20130213,0.001037,1359.842
20130214,0.000793,1360.921
20130215,-0.002035,1358.152
20130219,0.006966,1367.613
20130220,-0.013493,1349.16
20130221,-0.007296,1339.317
20130222,0.008698,1350.966
20130225,-0.017498,1327.327
20130226,0.005521,1334.656
20130227,0.012375,1351.172
20130228,-0.000608,1350.35
20130301,0.001777,1352.75
20130304,0.003829,1357.93
20130305,0.009283,1370.535
20130306,0.001415,1372.474
20130307,0.002295,1375.624
20130308,0.004889,1382.349
20130311,0.002729,1386.122
20130312,-0.002003,1383.345
20130313,0.00054,1384.091
20130314,0.005986,1392.376
20130315,-0.001559,1390.205
20130318,-0.005432,1382.654
20130319,-0.002983,1378.529
20130320,0.007386,1388.712
20130321,-0.007739,1377.964
20130322,0.005981,1386.207
20130325,-0.003086,1381.929
20130326,0.00705,1391.671
20130327,-0.000271,1391.293
20130328,0.004143,1397.057
20130401,-0.005465,1389.422
20130402,0.002845,1393.374
20130403,-0.0122,1376.375
20130404,0.003763,1381.553
20130405,-0.003729,1376.401
20130408,0.006595,1385.478
20130409,0.003664,1390.555
20130410,0.011867,1407.056
20130411,0.003148,1411.485
20130412,-0.003619,1406.377
20130415,-0.025604,1370.368
20130416,0.01481,1390.663
20130417,-0.014915,1369.922
20130418,-0.005986,1361.721
20130419,0.0094,1374.521
20130422,0.00428,1380.405
20130423,0.01034,1394.677
20130424,0.001982,1397.441
20130425,0.00484,1404.205
20130426,-0.002546,1400.63
20130429,0.007337,1410.907
20130430,0.004087,1416.674
20130501,-0.010879,1401.262
20130502,0.009544,1414.636
20130503,0.010492,1429.479
20130506,0.002548,1433.122
20130507,0.00521,1440.589
20130508,0.004592,1447.205
20130509,-0.003979,1441.446
20130510,0.004861,1448.453
20130513,-0.000668,1447.485
20130514,0.009421,1461.122
20130515,0.003902,1466.822
20130516,-0.004714,1459.907
20130517,0.009674,1474.03
20130520,0.000439,1474.677
20130521,0.001672,1477.142
20130522,-0.009794,1462.674
20130523,-0.00249,1459.033
20130524,-0.000934,1457.671
20130528,0.006482,1467.119
20130529,-0.007172,1456.597
20130530,0.004108,1462.58
20130531,-0.013613,1442.671
20130603,0.004525,1449.199
20130604,-0.005653,1441.006
20130605,-0.013708,1421.253
20130606,0.008978,1434.012
20130607,0.011767,1450.887
20130610,0.000215,1451.199
20130611,-0.010939,1435.324
20130612,-0.008691,1422.85
20130613,0.015044,1444.255
20130614,-0.005395,1436.463
20130617,0.00726,1446.892
20130618,0.007507,1457.753
20130619,-0.013333,1438.318
20130620,-0.02575,1401.281
20130621,0.001298,1403.099
20130624,-0.012337,1385.79
20130625,0.010304,1400.069
20130626,0.00884,1412.445
20130627,0.008019,1423.771
20130628,-0.002997,1419.504
20130701,0.006671,1428.973
20130702,-0.001471,1426.871
20130703,0.000456,1427.521
20130705,0.009377,1440.907
20130708,0.004998,1448.108
20130709,0.007743,1459.321
20130710,0.000629,1460.239
20130711,0.014274,1481.082
20130712,0.00271,1485.097
20130715,0.002179,1488.333
20130716,-0.003907,1482.517
20130717,0.002944,1486.882
20130718,0.005497,1495.055
20130719,0.001462,1497.241
20130722,0.002672,1501.243
20130723,-0.001357,1499.206
20130724,-0.004831,1491.963
20130725,0.003997,1497.926
20130726,0.000212,1498.243
20130729,-0.003794,1492.558
20130730,0.000405,1493.162
20130731,0.000072,1493.27
20130801,0.012344,1511.703
20130802,0.001288,1513.65
20130805,-0.000791,1512.453
20130806,-0.006641,1502.408
20130807,-0.004851,1495.12
20130808,0.00514,1502.804
20130809,-0.002157,1499.563
20130812,-0.000295,1499.12
20130813,0.001331,1501.115
20130814,-0.004399,1494.512
20130815,-0.013356,1474.552
20130816,-0.002972,1470.17
20130819,-0.007114,1459.712
20130820,0.005697,1468.028
20130821,-0.006125,1459.036
